2D_X_hip,2D_Y_hip,2D_vis_hip,2D_X_abdomen,2D_Y_abdomen,2D_vis_abdomen,2D_X_chest,2D_Y_chest,2D_vis_chest,2D_X_neck,2D_Y_neck,2D_vis_neck,2D_X_head,2D_Y_head,2D_vis_head,2D_X_lefteye,2D_Y_lefteye,2D_vis_lefteye,2D_X_es_lefteye,2D_Y_es_lefteye,2D_vis_es_lefteye,2D_X_righteye,2D_Y_righteye,2D_vis_righteye,2D_X_es_righteye,2D_Y_es_righteye,2D_vis_es_righteye,2D_X_rcollar,2D_Y_rcollar,2D_vis_rcollar,2D_X_rshoulder,2D_Y_rshoulder,2D_vis_rshoulder,2D_X_relbow,2D_Y_relbow,2D_vis_relbow,2D_X_rhand,2D_Y_rhand,2D_vis_rhand,2D_X_rthumb1,2D_Y_rthumb1,2D_vis_rthumb1,2D_X_rthumb2,2D_Y_rthumb2,2D_vis_rthumb2,2D_X_es_rthumb2,2D_Y_es_rthumb2,2D_vis_es_rthumb2,2D_X_rindex1,2D_Y_rindex1,2D_vis_rindex1,2D_X_rindex2,2D_Y_rindex2,2D_vis_rindex2,2D_X_es_rindex2,2D_Y_es_rindex2,2D_vis_es_rindex2,2D_X_rmid1,2D_Y_rmid1,2D_vis_rmid1,2D_X_rmid2,2D_Y_rmid2,2D_vis_rmid2,2D_X_es_rmid2,2D_Y_es_rmid2,2D_vis_es_rmid2,2D_X_rring1,2D_Y_rring1,2D_vis_rring1,2D_X_rring2,2D_Y_rring2,2D_vis_rring2,2D_X_es_rring2,2D_Y_es_rring2,2D_vis_es_rring2,2D_X_rpinky1,2D_Y_rpinky1,2D_vis_rpinky1,2D_X_rpinky2,2D_Y_rpinky2,2D_vis_rpinky2,2D_X_es_rpinky2,2D_Y_es_rpinky2,2D_vis_es_rpinky2,2D_X_lcollar,2D_Y_lcollar,2D_vis_lcollar,2D_X_lshoulder,2D_Y_lshoulder,2D_vis_lshoulder,2D_X_lelbow,2D_Y_lelbow,2D_vis_lelbow,2D_X_lhand,2D_Y_lhand,2D_vis_lhand,2D_X_lthumb1,2D_Y_lthumb1,2D_vis_lthumb1,2D_X_lthumb2,2D_Y_lthumb2,2D_vis_lthumb2,2D_X_es_lthumb2,2D_Y_es_lthumb2,2D_vis_es_lthumb2,2D_X_lindex1,2D_Y_lindex1,2D_vis_lindex1,2D_X_lindex2,2D_Y_lindex2,2D_vis_lindex2,2D_X_es_lindex2,2D_Y_es_lindex2,2D_vis_es_lindex2,2D_X_lmid1,2D_Y_lmid1,2D_vis_lmid1,2D_X_lmid2,2D_Y_lmid2,2D_vis_lmid2,2D_X_es_lmid2,2D_Y_es_lmid2,2D_vis_es_lmid2,2D_X_lring1,2D_Y_lring1,2D_vis_lring1,2D_X_lring2,2D_Y_lring2,2D_vis_lring2,2D_X_es_lring2,2D_Y_es_lring2,2D_vis_es_lring2,2D_X_lpinky1,2D_Y_lpinky1,2D_vis_lpinky1,2D_X_lpinky2,2D_Y_lpinky2,2D_vis_lpinky2,2D_X_es_lpinky2,2D_Y_es_lpinky2,2D_vis_es_lpinky2,2D_X_rbuttock,2D_Y_rbuttock,2D_vis_rbuttock,2D_X_rhip,2D_Y_rhip,2D_vis_rhip,2D_X_rknee,2D_Y_rknee,2D_vis_rknee,2D_X_rfoot,2D_Y_rfoot,2D_vis_rfoot,2D_X_es_rfoot,2D_Y_es_rfoot,2D_vis_es_rfoot,2D_X_lbuttock,2D_Y_lbuttock,2D_vis_lbuttock,2D_X_lhip,2D_Y_lhip,2D_vis_lhip,2D_X_lknee,2D_Y_lknee,2D_vis_lknee,2D_X_lfoot,2D_Y_lfoot,2D_vis_lfoot,2D_X_es_lfoot,2D_Y_es_lfoot,2D_vis_es_lfoot
0.473174,0.488223,1.0,0.469170,0.279860,1.0,0.470505,0.349314,1.0,0.467835,0.210406,1.0,0.465477,0.116179,1.0,0.469336,0.098460,1.0,0.469336,0.098460,1.0,0.447895,0.098610,1.0,0.447895,0.098610,1.0,0.444815,0.213075,1.0,0.421795,0.215745,1.0,0.391178,0.343885,1.0,0.363573,0.455619,1.0,0.364806,0.474616,1.0,0.363657,0.489937,1.0,0.361359,0.504238,1.0,0.359922,0.517517,1.0,0.350155,0.491981,1.0,0.344983,0.509856,1.0,0.341823,0.522113,1.0,0.339525,0.531817,1.0,0.346994,0.493512,1.0,0.342111,0.510367,1.0,0.340387,0.523645,1.0,0.339525,0.534370,1.0,0.346994,0.493512,1.0,0.342398,0.507302,1.0,0.341249,0.520581,1.0,0.490055,0.209051,1.0,0.512276,0.207697,1.0,0.547557,0.335643,1.0,0.582771,0.447413,1.0,0.580865,0.460774,1.0,0.582630,0.473842,1.0,0.585865,0.486388,1.0,0.587036,0.498410,1.0,0.596151,0.481683,1.0,0.602036,0.494229,1.0,0.602917,0.506774,1.0,0.602620,0.517752,1.0,0.597917,0.483774,1.0,0.600271,0.501547,1.0,0.598213,0.515660,1.0,0.595859,0.527161,1.0,0.597625,0.485343,1.0,0.598213,0.502593,1.0,0.595859,0.515138,1.0,0.440206,0.488246,1.0,0.440206,0.488246,1.0,0.435639,0.681762,1.0,0.437167,0.850737,1.0,0.437167,0.850737,1.0,0.506143,0.488200,1.0,0.506143,0.488200,1.0,0.509210,0.673571,1.0,0.518376,0.845245,1.0,0.518376,0.845245,1.0
0.473153,0.481449,1.0,0.469152,0.278126,1.0,0.470486,0.345900,1.0,0.467818,0.210352,1.0,0.465483,0.116194,1.0,0.469359,0.098463,1.0,0.469359,0.098463,1.0,0.447890,0.098606,1.0,0.447890,0.098606,1.0,0.444821,0.211674,1.0,0.421823,0.212996,1.0,0.395706,0.338384,1.0,0.365139,0.450209,1.0,0.365028,0.476976,1.0,0.363888,0.491672,1.0,0.361322,0.504848,1.0,0.360467,0.517518,1.0,0.349920,0.492179,1.0,0.345929,0.508903,1.0,0.342508,0.521066,1.0,0.339943,0.530694,1.0,0.347354,0.493699,1.0,0.343364,0.509917,1.0,0.341083,0.523599,1.0,0.339372,0.533735,1.0,0.347069,0.493193,1.0,0.343364,0.507889,1.0,0.341938,0.521066,1.0,0.489284,0.209024,1.0,0.510749,0.207695,1.0,0.547500,0.332975,1.0,0.581307,0.444770,1.0,0.581677,0.463004,1.0,0.583427,0.475444,1.0,0.586635,0.487883,1.0,0.588672,0.499286,1.0,0.596547,0.479590,1.0,0.602667,0.494621,1.0,0.603250,0.505507,1.0,0.602958,0.516909,1.0,0.598297,0.483737,1.0,0.600047,0.500842,1.0,0.598297,0.515355,1.0,0.595964,0.525721,1.0,0.596839,0.486846,1.0,0.598297,0.503952,1.0,0.595964,0.515873,1.0,0.440196,0.482783,1.0,0.440196,0.482783,1.0,0.435648,0.670879,1.0,0.437153,0.848030,1.0,0.437153,0.848030,1.0,0.506110,0.480115,1.0,0.506110,0.480115,1.0,0.509159,0.665344,1.0,0.516857,0.839875,1.0,0.516857,0.839875,1.0
0.473155,0.485536,1.0,0.470252,0.279160,1.0,0.471219,0.347952,1.0,0.469284,0.210369,1.0,0.464746,0.116192,1.0,0.469369,0.098481,1.0,0.469369,0.098481,1.0,0.447916,0.098601,1.0,0.447916,0.098601,1.0,0.445557,0.211693,1.0,0.421830,0.213017,1.0,0.395714,0.338372,1.0,0.366635,0.452886,1.0,0.367410,0.477360,1.0,0.364817,0.492724,1.0,0.362224,0.506552,1.0,0.360496,0.517819,1.0,0.352430,0.489652,1.0,0.346668,0.507576,1.0,0.344940,0.517306,1.0,0.343211,0.526013,1.0,0.348685,0.490676,1.0,0.344364,0.508600,1.0,0.342923,0.521404,1.0,0.341771,0.530110,1.0,0.348109,0.490676,1.0,0.344076,0.506040,1.0,0.343211,0.518331,1.0,0.490771,0.209039,1.0,0.512259,0.207709,1.0,0.547531,0.332991,1.0,0.582734,0.447434,1.0,0.579698,0.461275,1.0,0.583589,0.474567,1.0,0.586281,0.487859,1.0,0.588375,0.499556,1.0,0.595849,0.478820,1.0,0.598542,0.495834,1.0,0.603026,0.507000,1.0,0.602130,0.517633,1.0,0.597943,0.482543,1.0,0.600036,0.500088,1.0,0.597943,0.516039,1.0,0.595552,0.526141,1.0,0.597646,0.483606,1.0,0.600036,0.500088,1.0,0.597646,0.515507,1.0,0.440202,0.485549,1.0,0.440202,0.485549,1.0,0.435645,0.676285,1.0,0.437165,0.842643,1.0,0.437165,0.842643,1.0,0.506108,0.485522,1.0,0.506108,0.485522,1.0,0.509213,0.668211,1.0,0.516889,0.842580,1.0,0.516889,0.842580,1.0
0.472402,0.484170,1.0,0.470068,0.278833,1.0,0.470846,0.347278,1.0,0.469291,0.210387,1.0,0.465489,0.114893,1.0,0.469337,0.098458,1.0,0.469337,0.098458,1.0,0.447879,0.098571,1.0,0.447879,0.098571,1.0,0.445570,0.211727,1.0,0.421849,0.213068,1.0,0.394237,0.341213,1.0,0.368189,0.458285,1.0,0.369118,0.478957,1.0,0.367386,0.494353,1.0,0.364211,0.507695,1.0,0.363057,0.520011,1.0,0.353819,0.491787,1.0,0.349201,0.509748,1.0,0.347469,0.519498,1.0,0.346603,0.528222,1.0,0.350644,0.494353,1.0,0.346603,0.511287,1.0,0.345160,0.524117,1.0,0.345160,0.533354,1.0,0.349490,0.494353,1.0,0.346315,0.510261,1.0,0.345160,0.522577,1.0,0.490035,0.209039,1.0,0.510779,0.207692,1.0,0.546062,0.332885,1.0,0.581302,0.447329,1.0,0.580667,0.461695,1.0,0.583661,0.474991,1.0,0.586651,0.487754,1.0,0.587547,0.499454,1.0,0.596224,0.478181,1.0,0.596823,0.496263,1.0,0.594427,0.508494,1.0,0.591141,0.517003,1.0,0.598917,0.479244,1.0,0.599214,0.499454,1.0,0.596823,0.515407,1.0,0.594427,0.526044,1.0,0.599214,0.481372,1.0,0.601010,0.498390,1.0,0.598620,0.513812,1.0,0.438707,0.485493,1.0,0.438707,0.485493,1.0,0.435644,0.676325,1.0,0.437158,0.845269,1.0,0.437158,0.845269,1.0,0.506097,0.482847,1.0,0.506097,0.482847,1.0,0.509188,0.668096,1.0,0.516840,0.839892,1.0,0.516840,0.839892,1.0
0.472387,0.482819,1.0,0.470062,0.278480,1.0,0.470837,0.346593,1.0,0.469286,0.210367,1.0,0.464738,0.116211,1.0,0.469343,0.098456,1.0,0.469343,0.098456,1.0,0.447895,0.098593,1.0,0.447895,0.098593,1.0,0.445568,0.211693,1.0,0.421850,0.213019,1.0,0.397217,0.341125,1.0,0.371222,0.458258,1.0,0.370728,0.479975,1.0,0.369284,0.496399,1.0,0.366108,0.510257,1.0,0.365820,0.522062,1.0,0.356004,0.495373,1.0,0.351095,0.513850,1.0,0.348497,0.525656,1.0,0.347054,0.535407,1.0,0.352539,0.495886,1.0,0.348208,0.514877,1.0,0.347342,0.529248,1.0,0.346765,0.539000,1.0,0.352539,0.495886,1.0,0.349074,0.511797,1.0,0.347920,0.526169,1.0,0.490030,0.209034,1.0,0.510774,0.207701,1.0,0.547531,0.335592,1.0,0.582729,0.447471,1.0,0.579234,0.461209,1.0,0.581901,0.477015,1.0,0.585750,0.490187,1.0,0.587531,0.501778,1.0,0.595531,0.482284,1.0,0.597016,0.498090,1.0,0.593755,0.508627,1.0,0.590792,0.519164,1.0,0.597307,0.483865,1.0,0.599385,0.499670,1.0,0.596422,0.516003,1.0,0.593458,0.527067,1.0,0.597604,0.483865,1.0,0.599979,0.499670,1.0,0.596422,0.514949,1.0,0.438672,0.482824,1.0,0.438672,0.482824,1.0,0.435630,0.676365,1.0,0.437145,0.845334,1.0,0.437145,0.845334,1.0,0.506102,0.482815,1.0,0.506102,0.482815,1.0,0.509159,0.665474,1.0,0.516854,0.839897,1.0,0.516854,0.839897,1.0
0.472377,0.485498,1.0,0.468967,0.279169,1.0,0.470104,0.347945,1.0,0.467831,0.210393,1.0,0.464727,0.114889,1.0,0.469324,0.095974,1.0,0.469324,0.095974,1.0,0.447876,0.098558,1.0,0.447876,0.098558,1.0,0.444837,0.211710,1.0,0.421843,0.213027,1.0,0.397238,0.343910,1.0,0.372733,0.455632,1.0,0.370911,0.481869,1.0,0.371196,0.495538,1.0,0.368918,0.510726,1.0,0.368064,0.522876,1.0,0.356958,0.497563,1.0,0.353541,0.514776,1.0,0.351263,0.527938,1.0,0.350123,0.538063,1.0,0.354110,0.498069,1.0,0.351263,0.517306,1.0,0.349839,0.530976,1.0,0.350123,0.539581,1.0,0.353826,0.498069,1.0,0.351263,0.514269,1.0,0.350693,0.527431,1.0,0.489296,0.209058,1.0,0.510760,0.207723,1.0,0.547516,0.335703,1.0,0.581297,0.450110,1.0,0.580286,0.468888,1.0,0.581771,0.477849,1.0,0.584437,0.491555,1.0,0.586516,0.503152,1.0,0.593630,0.482594,1.0,0.594521,0.499462,1.0,0.591557,0.511586,1.0,0.588589,0.519493,1.0,0.596000,0.484175,1.0,0.596891,0.502625,1.0,0.593927,0.517911,1.0,0.591557,0.528455,1.0,0.596594,0.485229,1.0,0.598672,0.501570,1.0,0.596297,0.516331,1.0,0.438660,0.485495,1.0,0.438660,0.485495,1.0,0.435619,0.681702,1.0,0.437135,0.845326,1.0,0.437135,0.845326,1.0,0.506093,0.485500,1.0,0.506093,0.485500,1.0,0.509182,0.665509,1.0,0.516849,0.842524,1.0,0.516849,0.842524,1.0
0.471629,0.485502,1.0,0.468759,0.279117,1.0,0.469715,0.347912,1.0,0.467802,0.210321,1.0,0.463968,0.114928,1.0,0.469343,0.095947,1.0,0.469343,0.095947,1.0,0.447871,0.098526,1.0,0.447871,0.098526,1.0,0.444812,0.211673,1.0,0.421822,0.213025,1.0,0.397274,0.343869,1.0,0.372787,0.463664,1.0,0.373181,0.484493,1.0,0.372889,0.496962,1.0,0.370551,0.512548,1.0,0.370259,0.525017,1.0,0.358861,0.500079,1.0,0.356231,0.517224,1.0,0.354185,0.529173,1.0,0.353893,0.538525,1.0,0.356231,0.500598,1.0,0.353893,0.519821,1.0,0.353309,0.533330,1.0,0.353601,0.542682,1.0,0.355647,0.501119,1.0,0.353893,0.517744,1.0,0.353893,0.530212,1.0,0.489267,0.208992,1.0,0.510732,0.207663,1.0,0.546016,0.335611,1.0,0.579734,0.447515,1.0,0.576161,0.465101,1.0,0.578807,0.479216,1.0,0.582333,0.494375,1.0,0.583802,0.505876,1.0,0.592036,0.485489,1.0,0.594391,0.501693,1.0,0.596745,0.513717,1.0,0.596448,0.524172,1.0,0.594094,0.486534,1.0,0.595568,0.504831,1.0,0.593802,0.520513,1.0,0.589979,0.531491,1.0,0.594094,0.487056,1.0,0.595271,0.503785,1.0,0.591745,0.518944,1.0,0.437184,0.485509,1.0,0.437184,0.485509,1.0,0.435643,0.676329,1.0,0.437127,0.845241,1.0,0.437127,0.845241,1.0,0.506073,0.485495,1.0,0.506073,0.485495,1.0,0.509190,0.673563,1.0,0.516850,0.839829,1.0,0.516850,0.839829,1.0
0.471633,0.484174,1.0,0.468742,0.278819,1.0,0.469706,0.347271,1.0,0.467778,0.210368,1.0,0.465476,0.114909,1.0,0.469311,0.098455,1.0,0.469311,0.098455,1.0,0.447876,0.098599,1.0,0.447876,0.098599,1.0,0.444788,0.211726,1.0,0.421798,0.213084,1.0,0.397256,0.346622,1.0,0.374234,0.466383,1.0,0.374472,0.484754,1.0,0.374763,0.499198,1.0,0.372731,0.513127,1.0,0.372151,0.525508,1.0,0.360833,0.502809,1.0,0.358222,0.520349,1.0,0.356191,0.533246,1.0,0.355900,0.544595,1.0,0.358222,0.503325,1.0,0.355900,0.521381,1.0,0.355610,0.535309,1.0,0.355900,0.545111,1.0,0.357932,0.502294,1.0,0.355900,0.516738,1.0,0.355900,0.531182,1.0,0.489250,0.209028,1.0,0.510722,0.207688,1.0,0.545969,0.335582,1.0,0.576625,0.447436,1.0,0.573807,0.465017,1.0,0.576453,0.481735,1.0,0.578807,0.495842,1.0,0.580276,0.507859,1.0,0.589094,0.487482,1.0,0.589974,0.504202,1.0,0.586448,0.515696,1.0,0.583214,0.524056,1.0,0.591443,0.490094,1.0,0.592031,0.507336,1.0,0.588797,0.522488,1.0,0.585859,0.532415,1.0,0.592031,0.490094,1.0,0.592620,0.506814,1.0,0.589677,0.519876,1.0,0.438668,0.485538,1.0,0.438668,0.485538,1.0,0.435650,0.673617,1.0,0.437144,0.845340,1.0,0.437144,0.845340,1.0,0.504598,0.482810,1.0,0.504598,0.482810,1.0,0.509185,0.665537,1.0,0.516860,0.837178,1.0,0.516860,0.837178,1.0
0.472415,0.484189,1.0,0.468960,0.278855,1.0,0.470111,0.347300,1.0,0.467808,0.210410,1.0,0.463977,0.114890,1.0,0.469320,0.095950,1.0,0.469320,0.095950,1.0,0.447864,0.098540,1.0,0.447864,0.098540,1.0,0.444800,0.213068,1.0,0.421793,0.215725,1.0,0.397301,0.346583,1.0,0.374323,0.466359,1.0,0.376896,0.486283,1.0,0.376896,0.500211,1.0,0.374865,0.515169,1.0,0.374285,0.526519,1.0,0.362969,0.503821,1.0,0.360358,0.522907,1.0,0.358617,0.535803,1.0,0.358327,0.545604,1.0,0.360068,0.504854,1.0,0.358327,0.523939,1.0,0.358327,0.536834,1.0,0.358327,0.546119,1.0,0.359487,0.504338,1.0,0.358036,0.520328,1.0,0.358617,0.533224,1.0,0.489284,0.209065,1.0,0.510761,0.207719,1.0,0.545927,0.335743,1.0,0.573573,0.452823,1.0,0.572401,0.470031,1.0,0.572990,0.484666,1.0,0.575344,0.498778,1.0,0.576813,0.510276,1.0,0.586219,0.492506,1.0,0.586516,0.509231,1.0,0.583281,0.519161,1.0,0.579755,0.526479,1.0,0.588573,0.493028,1.0,0.588865,0.512367,1.0,0.585339,0.526479,1.0,0.581813,0.535364,1.0,0.588865,0.493551,1.0,0.589453,0.510276,1.0,0.586807,0.523865,1.0,0.438707,0.485512,1.0,0.438707,0.485512,1.0,0.435638,0.681702,1.0,0.437140,0.845315,1.0,0.437140,0.845315,1.0,0.506123,0.482866,1.0,0.506123,0.482866,1.0,0.509183,0.668098,1.0,0.516841,0.839803,1.0,0.516841,0.839803,1.0
0.473151,0.485503,1.0,0.469140,0.281113,1.0,0.470477,0.349243,1.0,0.467803,0.212983,1.0,0.464012,0.114896,1.0,0.469296,0.098458,1.0,0.469296,0.098458,1.0,0.447866,0.098594,1.0,0.447866,0.098594,1.0,0.444797,0.214367,1.0,0.421792,0.215751,1.0,0.397321,0.346552,1.0,0.375807,0.466353,1.0,0.378222,0.483844,1.0,0.378799,0.499223,1.0,0.376780,0.515626,1.0,0.376204,0.527416,1.0,0.364670,0.503836,1.0,0.362364,0.521265,1.0,0.360922,0.535618,1.0,0.361210,0.545356,1.0,0.361787,0.504861,1.0,0.360633,0.524340,1.0,0.360633,0.537156,1.0,0.361210,0.547919,1.0,0.361210,0.504349,1.0,0.360345,0.520752,1.0,0.360922,0.535105,1.0,0.489276,0.210351,1.0,0.510748,0.207719,1.0,0.544500,0.338319,1.0,0.570557,0.447503,1.0,0.570849,0.473517,1.0,0.570552,0.487752,1.0,0.572333,0.501988,1.0,0.573224,0.514642,1.0,0.583010,0.494606,1.0,0.583604,0.510951,1.0,0.583604,0.523605,1.0,0.583010,0.532569,1.0,0.585380,0.496716,1.0,0.585083,0.515169,1.0,0.582417,0.528350,1.0,0.578266,0.537841,1.0,0.585380,0.496716,1.0,0.584792,0.513060,1.0,0.581526,0.526769,1.0,0.440201,0.485508,1.0,0.440201,0.485508,1.0,0.435647,0.681696,1.0,0.437134,0.848032,1.0,0.437134,0.848032,1.0,0.506102,0.485497,1.0,0.506102,0.485497,1.0,0.509208,0.670857,1.0,0.516866,0.839888,1.0,0.516866,0.839888,1.0
0.472379,0.485515,1.0,0.468937,0.279185,1.0,0.470084,0.347962,1.0,0.467790,0.210408,1.0,0.463997,0.114879,1.0,0.469299,0.098448,1.0,0.469299,0.098448,1.0,0.447854,0.098567,1.0,0.447854,0.098567,1.0,0.444787,0.211752,1.0,0.421784,0.213095,1.0,0.397328,0.352019,1.0,0.375823,0.466482,1.0,0.379240,0.485031,1.0,0.379540,0.501585,1.0,0.377737,0.517606,1.0,0.377137,0.529354,1.0,0.365422,0.505857,1.0,0.364220,0.524014,1.0,0.364220,0.537364,1.0,0.364521,0.548044,1.0,0.363319,0.506391,1.0,0.362718,0.526683,1.0,0.363019,0.540034,1.0,0.364521,0.549112,1.0,0.363319,0.506391,1.0,0.362718,0.522411,1.0,0.364220,0.535228,1.0,0.489270,0.210336,1.0,0.510750,0.210263,1.0,0.544458,0.335703,1.0,0.570458,0.450223,1.0,0.568708,0.476285,1.0,0.567562,0.489545,1.0,0.568708,0.503824,1.0,0.568708,0.515555,1.0,0.580469,0.497194,1.0,0.580469,0.514024,1.0,0.579609,0.526264,1.0,0.579609,0.535443,1.0,0.582766,0.498215,1.0,0.582193,0.518104,1.0,0.578750,0.530344,1.0,0.574448,0.539523,1.0,0.582766,0.498215,1.0,0.582193,0.515044,1.0,0.578177,0.526774,1.0,0.438669,0.485524,1.0,0.438669,0.485524,1.0,0.435653,0.673615,1.0,0.437135,0.845302,1.0,0.437135,0.845302,1.0,0.506089,0.485506,1.0,0.506089,0.485506,1.0,0.509183,0.668163,1.0,0.516885,0.839887,1.0,0.516885,0.839887,1.0
0.472390,0.485535,1.0,0.468949,0.279170,1.0,0.470096,0.347958,1.0,0.467802,0.210381,1.0,0.464012,0.114926,1.0,0.469311,0.098443,1.0,0.469311,0.098443,1.0,0.447858,0.098591,1.0,0.447858,0.098591,1.0,0.444794,0.211721,1.0,0.421786,0.213060,1.0,0.398760,0.343866,1.0,0.375886,0.466421,1.0,0.378996,0.487917,1.0,0.380773,0.500548,1.0,0.378996,0.517391,1.0,0.378996,0.530022,1.0,0.367154,0.507917,1.0,0.366562,0.525812,1.0,0.367450,0.538970,1.0,0.368634,0.548443,1.0,0.364490,0.509495,1.0,0.364785,0.529496,1.0,0.366858,0.542128,1.0,0.369227,0.550549,1.0,0.364194,0.509495,1.0,0.364785,0.525812,1.0,0.367154,0.538444,1.0,0.489288,0.209054,1.0,0.510773,0.207727,1.0,0.544422,0.338421,1.0,0.569000,0.455598,1.0,0.566729,0.475285,1.0,0.564651,0.490049,1.0,0.565542,0.504813,1.0,0.565542,0.519049,1.0,0.578000,0.499540,1.0,0.578000,0.516940,1.0,0.574443,0.530122,1.0,0.571474,0.539614,1.0,0.579781,0.500594,1.0,0.578594,0.520631,1.0,0.575333,0.533813,1.0,0.571177,0.542250,1.0,0.580375,0.500594,1.0,0.578594,0.517468,1.0,0.574443,0.529595,1.0,0.438672,0.485562,1.0,0.438672,0.485562,1.0,0.435655,0.676290,1.0,0.437153,0.842646,1.0,0.437153,0.842646,1.0,0.506108,0.485508,1.0,0.506108,0.485508,1.0,0.509207,0.673561,1.0,0.516887,0.839939,1.0,0.516887,0.839939,1.0
0.472390,0.482806,1.0,0.468966,0.278478,1.0,0.470107,0.346587,1.0,0.467825,0.210369,1.0,0.463993,0.113565,1.0,0.467832,0.095969,1.0,0.467832,0.095969,1.0,0.447840,0.098573,1.0,0.447840,0.098573,1.0,0.444818,0.211687,1.0,0.421812,0.213006,1.0,0.398760,0.346585,1.0,0.377381,0.466474,1.0,0.380707,0.486557,1.0,0.382725,0.500911,1.0,0.381572,0.516803,1.0,0.381572,0.529106,1.0,0.368884,0.507575,1.0,0.368884,0.526031,1.0,0.369749,0.539359,1.0,0.371479,0.549099,1.0,0.366577,0.509113,1.0,0.367154,0.528081,1.0,0.369172,0.541410,1.0,0.371479,0.550125,1.0,0.366289,0.509113,1.0,0.367154,0.525005,1.0,0.369749,0.537821,1.0,0.490037,0.210324,1.0,0.512249,0.210279,1.0,0.542943,0.338326,1.0,0.567453,0.458283,1.0,0.564714,0.479142,1.0,0.562958,0.492668,1.0,0.562958,0.507754,1.0,0.562667,0.520239,1.0,0.575250,0.498910,1.0,0.574958,0.517118,1.0,0.572323,0.529603,1.0,0.569984,0.540527,1.0,0.577588,0.502031,1.0,0.576422,0.520758,1.0,0.572323,0.533764,1.0,0.567932,0.542607,1.0,0.577588,0.503071,1.0,0.576130,0.519198,1.0,0.572323,0.531683,1.0,0.438672,0.482826,1.0,0.438672,0.482826,1.0,0.435645,0.679061,1.0,0.437122,0.842569,1.0,0.437122,0.842569,1.0,0.506107,0.482785,1.0,0.506107,0.482785,1.0,0.509189,0.668096,1.0,0.516856,0.839906,1.0,0.516856,0.839906,1.0
0.472429,0.482833,1.0,0.468964,0.280453,1.0,0.470119,0.347913,1.0,0.467809,0.212993,1.0,0.463998,0.114940,1.0,0.469318,0.098476,1.0,0.469318,0.098476,1.0,0.447872,0.098577,1.0,0.447872,0.098577,1.0,0.444798,0.213044,1.0,0.421787,0.213094,1.0,0.397332,0.352008,1.0,0.377352,0.469155,1.0,0.381271,0.488590,1.0,0.383374,0.499804,1.0,0.383374,0.516891,1.0,0.383675,0.530241,1.0,0.370158,0.509415,1.0,0.371359,0.529706,1.0,0.373462,0.541454,1.0,0.375264,0.550531,1.0,0.367755,0.511017,1.0,0.369257,0.531308,1.0,0.371960,0.543590,1.0,0.375565,0.551599,1.0,0.367154,0.510483,1.0,0.368956,0.527570,1.0,0.372260,0.539318,1.0,0.490027,0.211643,1.0,0.512245,0.210293,1.0,0.544396,0.341091,1.0,0.567448,0.461046,1.0,0.562391,0.477592,1.0,0.560625,0.491730,1.0,0.561802,0.507963,1.0,0.560625,0.521055,1.0,0.573875,0.500108,1.0,0.573875,0.518959,1.0,0.570635,0.531527,1.0,0.567693,0.540429,1.0,0.576526,0.502727,1.0,0.575057,0.522625,1.0,0.571224,0.535193,1.0,0.566516,0.543571,1.0,0.577120,0.502727,1.0,0.575057,0.520006,1.0,0.570344,0.531527,1.0,0.438708,0.482824,1.0,0.438708,0.482824,1.0,0.435659,0.673577,1.0,0.437147,0.842584,1.0,0.437147,0.842584,1.0,0.506151,0.482842,1.0,0.506151,0.482842,1.0,0.509200,0.668235,1.0,0.516857,0.839855,1.0,0.516857,0.839855,1.0
0.473157,0.482850,1.0,0.469151,0.280449,1.0,0.470486,0.347916,1.0,0.467815,0.212982,1.0,0.463997,0.114904,1.0,0.469295,0.098452,1.0,0.469295,0.098452,1.0,0.447863,0.098578,1.0,0.447863,0.098578,1.0,0.444801,0.213042,1.0,0.421787,0.213102,1.0,0.398760,0.354697,1.0,0.377405,0.469117,1.0,0.381307,0.486869,1.0,0.384044,0.500927,1.0,0.384653,0.521474,1.0,0.385565,0.533910,1.0,0.371270,0.509579,1.0,0.371574,0.529044,1.0,0.374920,0.542562,1.0,0.377353,0.551213,1.0,0.368836,0.511742,1.0,0.369749,0.530667,1.0,0.374007,0.543103,1.0,0.377657,0.551754,1.0,0.368532,0.511201,1.0,0.369749,0.527422,1.0,0.374007,0.538236,1.0,0.490032,0.211637,1.0,0.512248,0.210291,1.0,0.542948,0.338417,1.0,0.565943,0.461022,1.0,0.562859,0.478304,1.0,0.560490,0.493581,1.0,0.560193,0.507804,1.0,0.559599,0.521500,1.0,0.572641,0.499375,1.0,0.572344,0.519919,1.0,0.569083,0.532563,1.0,0.566120,0.541519,1.0,0.575307,0.503062,1.0,0.573823,0.524134,1.0,0.569677,0.536251,1.0,0.565229,0.544679,1.0,0.575604,0.503589,1.0,0.573823,0.520973,1.0,0.569380,0.532563,1.0,0.440200,0.482858,1.0,0.440200,0.482858,1.0,0.435673,0.670859,1.0,0.437138,0.842541,1.0,0.437138,0.842541,1.0,0.506114,0.482842,1.0,0.506114,0.482842,1.0,0.509198,0.668131,1.0,0.516886,0.839890,1.0,0.516886,0.839890,1.0
